,Unnamed: 0,index,sentence1,sentence2,variability,confidence,var_ep,conf_ep,lexical,subsequence,gold_label,pred_label
0,1291,1291,"The Bolan Pass is a gap through the Toba Kakar Range of mountains on the border of Pakistan. The British took the threat of a Russian invasion of India via the Khyber and Bolan Passes very seriously so in 1837, a British envoy was sent to Kabul to gain support of the Emir, Dost Mohammed. In February of 1839, the British Army under Sir John Keane took 12,000 men through the Bolan Pass and entered Kandahar.",The British Army crossed the Toba Kakar Range of mountains in 1839.,"[0.0, 0.11860036849975586, 0.10448118776866121, 0.09154172524202044, 0.10129377703834723, 0.09844864971495369, 0.09208545078559288, 0.09294604990411515, 0.09620451099060001, 0.12587630082501902, 0.12294721240288208, 0.13220458636865604, 0.1447961373626625, 0.1399785451330182, 0.1486994953698362, 0.1692221543936768, 0.1792752949158105, 0.17427115075862357, 0.1752036319264658, 0.1718653325020733]","[0.256224662065506, 0.37482503056526184, 0.40256447593371075, 0.4105779752135277, 0.44039625525474546, 0.45550770064194995, 0.45015070268086027, 0.4633481279015541, 0.477384799056583, 0.5062812924385071, 0.5147170153531161, 0.532862146695455, 0.5529293968127325, 0.5560381625379834, 0.5725647926330566, 0.5955235511064529, 0.6135304465013391, 0.6125501195589701, 0.6228896944146407, 0.6273393869400025]",0.0,0.256224662065506,0,0,entailment,not_entailment
1,2474,2474,"Although the domestic markets for cigarettes in America in the 1990s was greatly reduced due to bans on advertising, smoking in public places and health warnings, American tobacco companies were showing a higher profit.",Cigarette sales have declined due to restrictions on advertising.,"[0.0, 0.11214330792427063, 0.11813125337386167, 0.10543731247393795, 0.0956717577235308, 0.0874118243852635, 0.08215859842181629, 0.07732137147157907, 0.07291181290081583, 0.07583956580116598, 0.08111580167179255, 0.09708857596007545, 0.09561812551843413, 0.10452395591969968, 0.11652729859480221, 0.14892546115854344, 0.15581656941412372, 0.1603862525385597, 0.16248396260088696, 0.16928308867044722]","[0.2570917010307312, 0.36923500895500183, 0.42201242844263714, 0.4367408826947212, 0.44479482173919677, 0.44642307360967, 0.45220746312822613, 0.44899335131049156, 0.4494711392455631, 0.4598373264074326, 0.4714606214653362, 0.489027979473273, 0.4950951452438648, 0.5087825634649822, 0.4932406743367513, 0.5183389410376549, 0.5329262754496407, 0.5457457668251462, 0.5563685141111675, 0.5700870722532272]",0.0,0.2570917010307312,0,0,entailment,not_entailment
2,399,399,"The Bakun Hydroelectric Project (BHEP) comprises the construction of a 2,400MW hydroelectric dam, the transmission of its electricity, and the building of related infrastructure including access roads.",A hydroelectric project is proposed or is under construction.,"[0.0, 0.1419786959886551, 0.12383657987796366, 0.10862532756045656, 0.09720863592573609, 0.09069314864955173, 0.0843178788185741, 0.07893554306221078, 0.08027396589862006, 0.07981090247439217, 0.08771952871410196, 0.08753508437774994, 0.11155256822118761, 0.1176987549866384, 0.1552906304946582, 0.16200955929047953, 0.17022611484605282, 0.1879063082868988, 0.1988199377278873, 0.20482509606644725]","[0.26994749903678894, 0.41192619502544403, 0.4427228271961212, 0.45268672704696655, 0.4542638659477234, 0.4626382092634837, 0.4657817951270512, 0.46458636596798897, 0.4539479745758904, 0.44598792493343353, 0.45978649908846075, 0.4672265723347664, 0.48838273607767546, 0.5016778388193676, 0.5299440681934356, 0.5455199386924505, 0.5618634767392102, 0.5834773066971037, 0.6018544419815666, 0.6170728877186775]",0.0,0.2699474990367889,0,0,entailment,not_entailment
3,300,300,"The borrowers must form five-member groups that, along with the bank's field workers, closely supervise the loans. Peer pressure substitutes for collateral because the group's first two borrowers have to start repaying the principal plus interest over a six-week period before the other members can take out loans. The interest rate is fixed at 16 percent.",The first two borrowers must start repaying the principal plus interest over a six-week period.,"[0.0, 0.10027456283569336, 0.0968953584222292, 0.0920612779705794, 0.08847759682236195, 0.08157139662061706, 0.08906271572636927, 0.08462140057249633, 0.0948908891700145, 0.09404610697373028, 0.09343210824053537, 0.10282882950849297, 0.10338357294392299, 0.12246503399422665, 0.14038564031048223, 0.1446532211773232, 0.15548197553517903, 0.15487458250045813, 0.16576153999741217, 0.17360945683757362]","[0.29870373010635376, 0.3989782929420471, 0.43562106291453045, 0.45748233795166016, 0.47366923093795776, 0.4787745575110118, 0.4980481607573373, 0.5036559998989105, 0.5218189491166009, 0.53089160323143, 0.5391919016838074, 0.5544820427894592, 0.5632748512121347, 0.5830290360110146, 0.6032250205675761, 0.6160004772245884, 0.6327354452189278, 0.6409764024946425, 0.657226496621182, 0.6718033343553543]",0.0,0.2987037301063537,0,0,entailment,not_entailment
4,1173,1173,The Philippine Stock Exchange Composite Index rose 0.1 percent to 1573.65.,The Philippine Stock Exchange Composite Index rose.,"[0.0, 0.11200672388076782, 0.1025832419113812, 0.09818022717525872, 0.08862935222133424, 0.08659078883434639, 0.088165582442469, 0.09176945337999583, 0.08842285973156974, 0.08674974823630371, 0.08981010671668518, 0.09649732616494074, 0.118516762886385, 0.13082552198224814, 0.15302726734541197, 0.16547826165308438, 0.1727779026297145, 0.17832859282627858, 0.18162343134536638, 0.18929851774272577]","[0.30202341079711914, 0.41403013467788696, 0.44689083099365234, 0.47102148830890656, 0.4650282323360443, 0.4788267562786738, 0.49380642601421904, 0.5090197138488293, 0.5154686139689552, 0.5228380471467972, 0.533903644843535, 0.520698847870032, 0.542011552132093, 0.5597107389143535, 0.5827681958675385, 0.6017932575196028, 0.6177618135424221, 0.6323287768496407, 0.6449332848975533, 0.6603164806962013]",0.0,0.3020234107971191,0,0,entailment,not_entailment
5,2322,2322,"Peter Voser, a 46-year-old who joined ABB from Shell 2-1/2 years ago, will rejoin the Anglo-Dutch company on October 4.",Peter Voser has worked for Shell in the past.,"[0.0, 0.08508466184139252, 0.08095390861805832, 0.07112214780570787, 0.09116423859390667, 0.08654275596706831, 0.08133905492090626, 0.08736158451529158, 0.08452164020804447, 0.1143092743134923, 0.13154915152532284, 0.1371871755568935, 0.15120756253418108, 0.14725514375424675, 0.15520127024895308, 0.15741557559700586, 0.16149934106237623, 0.15933267463411413, 0.1555950538193211, 0.16295445532071634]","[0.3075158894062042, 0.39260055124759674, 0.4219882090886434, 0.42889734357595444, 0.4615478813648224, 0.47216751674811047, 0.4778879923479898, 0.4616618677973747, 0.45495490895377266, 0.4277987897396088, 0.4045040634545413, 0.38810772200425464, 0.36671628516453963, 0.36081013615642277, 0.3442292476693789, 0.33212499553337693, 0.3189910676549463, 0.3123318586084578, 0.30935909089289215, 0.3230373963713646]",0.0,0.3075158894062042,0,0,entailment,not_entailment
6,639,639,"Twenty-four people, among them seven children, were killed on Sunday after their airplane crashed in a river in Brazil. Four people survived the crash, including a 9-year-old boy. The aircraft, which was a twin-engine Embraer turboprop chartered by Manaus Aerotaxis, was carrying 26 passengers and two crew members when it crashed. The pilots of the plane, which had departed from Coari, had supposedly contacted the air traffic control near their destination of Manaus to announce  that they were turning back. The plane, however, then disappeared from radar. The plane made an emergency landing in the river Manacapuru, a branch the  Amazon river in the Brazilian state of Amazonas, 50 miles (80 kilometers) from Manaus.",24 people died in an airplane crash.,"[0.0, 0.09428036212921143, 0.07727682267467702, 0.09564955434871363, 0.08555489138798628, 0.08667869187340062, 0.08836451055968694, 0.08373346578983294, 0.08347653017890698, 0.10439855981538966, 0.10783653449861322, 0.11704485387952974, 0.12753362748370572, 0.14105998277855838, 0.1599813160244379, 0.17676895973706994, 0.18537585404809642, 0.19089631284200742, 0.1928776999729436, 0.19500598280635972]","[0.3101789653301239, 0.4044593274593353, 0.399671345949173, 0.4391262009739876, 0.4395035743713379, 0.4563172360261281, 0.4714191385677883, 0.4764765575528145, 0.48606867922676933, 0.5087440729141235, 0.5218607891689647, 0.5384845385948817, 0.5558510193457971, 0.575056118624551, 0.5974529147148132, 0.6194421090185642, 0.6370400786399841, 0.6523531211747063, 0.6645514212156597, 0.676440417766571]",0.0,0.3101789653301239,0,0,entailment,not_entailment
7,649,649,"""""""The resignation came amid recent allegations by Massachusetts' attorney general that the Boston archdiocese engaged in """"""""an elaborate scheme"""""""" to keep quiet the issue of child sexual abuse by priests.""""""",The state attorney general claimed that the archdiocese engaged in a coverup.,"[0.0, 0.10803382098674774, 0.10095500549487722, 0.10245576161756166, 0.09240813184172499, 0.08950624724834005, 0.0828685559561442, 0.0779642684778508, 0.0738291261105868, 0.07095501303623306, 0.08841793902963402, 0.08676229548364676, 0.08539788218813006, 0.0847175336074388, 0.11861054755600864, 0.14236017136653004, 0.16294067703852386, 0.16866401321395796, 0.17088396663690952, 0.1786121475967491]","[0.31084755063056946, 0.4188813716173172, 0.45360198616981506, 0.4844416156411171, 0.47849358320236207, 0.4918750325838725, 0.4916475628103529, 0.4884936697781086, 0.4860520131058163, 0.48226683735847475, 0.5002690878781405, 0.4945368692278862, 0.48918153001711917, 0.4835987516811916, 0.4606549193461736, 0.4389336006715894, 0.41731851898572025, 0.4032329267097844, 0.3920500525518468, 0.37725134044885633]",0.0,0.3108475506305694,0,0,entailment,not_entailment
8,220,220,"Paul Bremer, the top U.S. civilian administrator in Iraq, and Iraq's new president, Ghazi al-Yawar, visited the northern Iraqi city of Kirkuk.",Ghazi al-Yawar is Iraq's new president.,"[0.0, 0.15937446057796478, 0.13045392978834963, 0.11607393859316831, 0.10395451173274384, 0.09786060788813801, 0.09147346849237675, 0.08582873833664155, 0.08774084104728656, 0.08724637297880951, 0.09525952857169476, 0.09171361058482273, 0.11079631456216318, 0.11310949684691704, 0.13782877259652915, 0.14358676154584105, 0.16350624827965451, 0.17554626418552818, 0.18402714413953286, 0.1922228957958636]","[0.3151783049106598, 0.4745527654886246, 0.4680432081222534, 0.4834216386079788, 0.4860680103302002, 0.49675677220026654, 0.5019012945038932, 0.4993629790842533, 0.5113545954227448, 0.5200680583715439, 0.534746075218374, 0.5376569752891859, 0.5570465486783248, 0.5674046725034714, 0.589854504664739, 0.6035358440130949, 0.6249395661494311, 0.6430364234579934, 0.6591461504760542, 0.6750023320317269]",0.0,0.3151783049106598,0,0,entailment,not_entailment
9,1398,1398,"Tuesday, famed ocean liner, Queen Elizabeth 2, popularly known as the QE2, arrived in her home port of Southampton, England for the final time. The Cunard Line ship has been in service since 1969, and is to become a floating hotel in Dubai. The homecoming was marred as the vessel ran aground on a sandbank near Calshot at the mouth of Southampton Water. The ship hit the sandbank at around 0530 GMT, and five tugs took around 30 minutes to pull the QE2 clear. The 70,000 tonne vessel was towed into port and eventually docked at 0730 GMT according to the Solent coastguard. Around a thousand crew and 1,700 passengers were aboard the ship, which was returning from a cruise around the Mediterranean.",Elizabeth II is the queen of England.,"[0.0, 0.08503197133541107, 0.07992265120282788, 0.07929151843855094, 0.0740540919205537, 0.0697491333673227, 0.06713199460918377, 0.06507277952246153, 0.061777727354593956, 0.06377949069931722, 0.07193270392298279, 0.07688240106058862, 0.07539186122744108, 0.07606426973349117, 0.0763494887575897, 0.12434336664108149, 0.1320048906015903, 0.15025953671978456, 0.16994345397125027, 0.1657671303188478]","[0.31716400384902954, 0.4021959751844406, 0.4301900764306386, 0.4525240734219551, 0.4631811439990997, 0.45550085107485455, 0.4629925659724644, 0.4694412648677826, 0.47200342350535923, 0.4803898185491562, 0.4682395404035395, 0.4579360435406367, 0.4622922081213731, 0.46854235019002644, 0.474079171816508, 0.4482639874331653, 0.46166525824981575, 0.44269049333201516, 0.46309087621538264, 0.46160404235124586]",0.0,0.3171640038490295,0,0,not_entailment,entailment
